COD_FACTURA,DATE_FACTURA,DESC_PRODUCTE,COD_PROVEIDOR,F_QUANTITAT,F_IVA,F_PREU_SENSE_IVA_UNITAT,F_PVP_UNITAT,F_TOTAL_SENSE_IVA,F_PVP_TOTAL
FRA 229,2023-03-20,AMERICANA,CHOPO,1,0.21,3.63,4.6,3.63,4.6
FRA 229,2023-03-20,ARTIS,DAYKA,1,0.21,3.4,4.3,3.4,4.3
FRA 228,2023-03-20,18034 FANAL (X2),CREAL,1,0.21,4.35,5.5,4.35,5.5
FRA 228,2023-03-20,2547 ENDOLL + PILA,CREAL,1,0.21,1.98,2.5,1.98,2.5
FRA 228,2023-03-20,LAMP. + ENDOLL,CREAL,1,0.21,2.37,3.0,2.37,3.0
FRA 227,2023-03-20,74128 ZAPATILLAS,CREAL,1,0.21,6.08,7.7,6.08,7.7
FRA 227,2023-03-20,78015 OSITO GRIS,CREAL,1,0.21,1.19,1.5,1.19,1.5
FRA 227,2023-03-20,78025 OSITO ROSA,CREAL,1,0.21,1.19,1.5,1.19,1.5
FRA 227,2023-03-20,72501 CAFETERA,CREAL,1,0.21,5.69,7.2,5.69,7.2
FRA 227,2023-03-20,HELADO,ARTESANIA,1,0.21,6.32,8.0,6.32,8.0
FRA 227,2023-03-20,BOLSA MAIZ,CREAL,1,0.21,2.77,3.5,2.77,3.5
FRA 227,2023-03-20,TIESTO CARA,VARIS,1,0.21,2.77,3.5,2.77,3.5
FRA 227,2023-03-20,OSITO MARRÓN,CREAL,1,0.21,1.26,1.6,1.26,1.6
FRA 226,2023-03-17,BEF174 BUTACA,STREETS AHEAD,1,0.21,13.75,17.4,13.75,17.4
FRA 226,2023-03-17,SUPORT BARRET,STREETS AHEAD,1,0.21,0.79,1.0,0.79,1.0
FRA 226,2023-03-17,CALAVERA,CAROL,1,0.21,9.48,12.0,9.48,12.0
FRA 226,2023-03-17,DEV. BEF140,STREETS AHEAD,1,0.21,-7.58,-9.6,-7.58,-9.6
FRA 225,2023-03-16,PLANTA ÚLTIM PIS,ALLAU,1,0.21,102.7,130.0,102.7,130.0
FRA 225,2023-03-16,BUST BETHOVEN,AZTEC,1,0.21,9.48,12.0,9.48,12.0
FRA 225,2023-03-16,PARQUET S/P,STREETS AHEAD,1,0.21,13.43,17.0,13.43,17.0
FRA 225,2023-03-16,MONTATGE EDIFICI,CLUB,1,0.21,15.8,20.0,15.8,20.0
FRA 224,2023-03-16,LIBRO ARTESANIA DRAP,STOCK DRAP,1,0.21,15.8,20.0,15.8,20.0
FRA 224,2023-03-16,MONTAJE DIORAMA,CLUB,1,0.21,15.8,20.0,15.8,20.0
FRA 223,2023-03-16,2219 LAMP. SOSTRE LED,CREAL,1,0.21,15.01,19.0,15.01,19.0
FRA 223,2023-03-16,TROMPETA,STREETS AHEAD,1,0.21,13.43,17.0,13.43,17.0
FRA 223,2023-03-16,TROMBON,STREETS AHEAD,1,0.21,13.43,17.0,13.43,17.0
FRA 222,2023-03-16,PANOT FLOR (1015 UNIDADES),ALLAU,1,0.21,402.9,510.0,402.9,510.0
FRA 222,2023-03-16,SILLA OPORTO,ALLAU,1,0.21,23.66,29.95,23.66,29.95
FRA 222,2023-03-16,SILLA OPORTO,ALLAU,1,0.21,23.66,29.95,23.66,29.95
FRA 222,2023-03-16,MESA OPORTO,ALLAU,1,0.21,14.97,18.95,14.97,18.95
FRA 222,2023-03-16,MESA BAJA,ALLAU,1,0.21,7.07,8.95,7.07,8.95
FRA 222,2023-03-16,SILLA COMEDOR,ALLAU,1,0.21,11.81,14.95,11.81,14.95
FRA 222,2023-03-16,SILLA COMEDOR,ALLAU,1,0.21,11.81,14.95,11.81,14.95
FRA 222,2023-03-16,SILLA COMEDOR,ALLAU,1,0.21,11.81,14.95,11.81,14.95
FRA 222,2023-03-16,SILLA COMEDOR,ALLAU,1,0.21,11.81,14.95,11.81,14.95
FRA 222,2023-03-16,BANQUETA TOCADOR,ALLAU,1,0.21,5.49,6.95,5.49,6.95
FRA 222,2023-03-16,MESITA NOCHE,ALLAU,1,0.21,10.23,12.95,10.23,12.95
FRA 222,2023-03-16,MESITA NOCHE,ALLAU,1,0.21,10.23,12.95,10.23,12.95
FRA 222,2023-03-16,BUTACA,ALLAU,1,0.21,10.23,12.95,10.23,12.95
FRA 222,2023-03-16,BUTACA,ALLAU,1,0.21,11.81,14.95,11.81,14.95
FRA 222,2023-03-16,SOFÁ,ALLAU,1,0.21,11.81,14.95,11.81,14.95
FRA 222,2023-03-16,MESA COMEDOR,ALLAU,1,0.21,11.81,14.95,11.81,14.95
FRA 222,2023-03-16,BIOMBO,ALLAU,1,0.21,27.61,34.95,27.61,34.95
FRA 222,2023-03-16,TOCADOR,ALLAU,1,0.21,18.92,23.95,18.92,23.95
FRA 222,2023-03-16,ARMARIO,ALLAU,1,0.21,28.4,35.95,28.4,35.95
FRA 222,2023-03-16,CAMA,ALLAU,1,0.21,21.29,26.95,21.29,26.95
FRA 221,2023-03-16,TRELLIS,VARIS,4,0.21,1.66,2.1,6.64,8.4
FRA 221,2023-03-16,TRELLIS,VARIS,4,0.21,1.26,1.6,5.06,6.4
FRA 221,2023-03-16,31079 MESA HALL,CREAL,1,0.21,8.77,11.1,8.77,11.1
FRA 221,2023-03-16,269531 NIÑO,CREAL,1,0.21,7.03,8.9,7.03,8.9
FRA 220,2023-03-15,FLORES CENTRO MESA,STOCK DRAP,1,0.21,7.9,10.0,7.9,10.0
FRA 219,2023-03-15,BEF140,STREETS AHEAD,1,0.21,7.58,9.6,7.58,9.6
FRA 218,2023-03-15,MSC 16,ALLAU,1,0.21,13.39,16.95,13.39,16.95
FRA 218,2023-03-15,73260 GOTS REFRESC,CREAL,1,0.21,1.42,1.8,1.42,1.8
FRA 217,2023-03-15,72575 JOC TE,CREAL,1,0.21,2.61,3.3,2.61,3.3
FRA 217,2023-03-15,2222 FANAL PEU LED,CREAL,1,0.21,17.38,22.0,17.38,22.0
FRA 217,2023-03-15,SET TASA,CREAL,1,0.21,4.5,5.7,4.5,5.7
FRA 217,2023-03-15,CAFETERA,CREAL,1,0.21,5.69,7.2,5.69,7.2
FRA 217,2023-03-15,TEST FANG,STREETS AHEAD,2,0.21,0.95,1.2,1.9,2.4
FRA 217,2023-03-15,75310 TEST PARET,CREAL,2,0.21,1.26,1.6,2.53,3.2
FRA 216,2023-03-14,BOSSA ,BOSSES,1,0.21,0.08,0.1,0.08,0.1
FRA 216,2023-03-14,GARLANDA 30 LEDS,SCRAP NOLI,1,0.21,9.4,11.9,9.4,11.9
FRA 216,2023-03-14,CASETA 1:48 MONTADA,SCRAP NOLI,1,0.21,30.81,39.0,30.81,39.0
FRA 215,2023-03-14,PAPER PARET,CREAL,2,0.21,3.24,4.1,6.48,8.2
FRA 215,2023-03-14,75983 GERRO ROSES,CREAL,1,0.21,4.9,6.2,4.9,6.2
FRA 215,2023-03-14,72850 MAQ. COSIR,CREAL,1,0.21,6.71,8.5,6.71,8.5
FRA 215,2023-03-14,2287 LAMPARA PARET LED,CREAL,1,0.21,17.38,22.0,17.38,22.0
FRA 214,2023-03-14,MONTATGE EDIFICI,CLUB,2,0.21,15.8,20.0,31.6,40.0
FRA 214,2023-03-14,PARELL MÉNSULAS D. IRIARTE,ARTESANIA,1,0.21,44.24,56.0,44.24,56.0
FRA 213,2023-03-14,TACKY GLUE,CHOPO,1,0.21,7.35,9.3,7.35,9.3
FRA 213,2023-03-14,CAJA HERRAMIENTAS,VARIS,1,0.21,19.71,24.95,19.71,24.95
FRA 212,2023-03-14,FRA 162,VARIS,1,0.21,-4.27,-5.4,-4.27,-5.4
FRA 212,2023-03-14,TIESTO REDONDO,STOCK DRAP,1,0.21,2.41,3.05,2.41,3.05
FRA 212,2023-03-14,TIESTO RECTANGULAR PEQUEÑO,STOCK DRAP,1,0.21,6.71,8.5,6.71,8.5
FRA 212,2023-03-14,TIESTO RECTANGULAR,STOCK DRAP,4,0.21,8.41,10.65,33.65,42.6
FRA 211,2023-03-14,TALL 2 PECES SEPARADOR,VEGA,1,0.21,12.64,16.0,12.64,16.0
FRA 211,2023-03-14,"3 LLISTÓ GUAR. 79657 A 3,4",CREAL,3,0.21,2.69,3.4,8.06,10.2
FRA 211,2023-03-14,4 PARQUETS S/P A 17,STREETS AHEAD,4,0.21,13.43,17.0,53.72,68.0
FRA 211,2023-03-14,MONTATGE EDIFICI,CLUB,1,0.21,15.8,20.0,15.8,20.0
FRA 210,2023-03-14,100 TEJAS,ALLAU,1,0.21,11.06,14.0,11.06,14.0
FRA 210,2023-03-14,MONTAJE EDIFICIO,CLUB,1,0.21,15.8,20.0,15.8,20.0
FRA 209,2023-03-13,TIESTO BARRO,VARIS,3,0.21,1.98,2.5,5.93,7.5
FRA 209,2023-03-13,TIESTO BARRO,VARIS,3,0.21,2.77,3.5,8.29,10.5
FRA 209,2023-03-13,TIESTO BARRO,VARIS,1,0.21,1.42,1.8,1.42,1.8
FRA 209,2023-03-13,CHIMENEAS (X2),STREETS AHEAD,2,0.21,2.29,2.9,4.58,5.8
FRA 208,2023-03-13,FIRA 11/3,VARIS,1,0.21,457.21,578.75,457.21,578.75
FRA 207,2023-03-13,BOLSA,BOSSES,2,0.21,0.08,0.1,0.16,0.2
FRA 207,2023-03-13,71580 TABLA PLAN. + PLANXA,CREAL,1,0.21,4.11,5.2,4.11,5.2
FRA 207,2023-03-13,72850 MAQUINA COSER,CREAL,1,0.21,7.9,10.0,7.9,10.0
FRA 207,2023-03-13,CAMA DOBLE + MESILLA,VARIS,1,0.21,29.31,37.1,29.31,37.1
FRA 207,2023-03-13,23297 U ARMARIO,VEGA,1,0.21,10.59,13.4,10.59,13.4
FRA 207,2023-03-13,2793 SET DE BAÑO,CREAL,1,0.21,23.62,29.9,23.62,29.9
FRA 206,2023-03-13,2287 LAMP. LED,CREAL,1,0.21,17.38,22.0,17.38,22.0
FRA 206,2023-03-13,ALFOMBRA,VARIS,1,0.21,0.0,0.0,0.0,0.0
FRA 206,2023-03-13,FIGURES PESEBRE,CREAL,1,0.21,1.82,2.3,1.82,2.3
FRA 206,2023-03-13,31257 BUTACA,CREAL,2,0.21,13.75,17.4,27.49,34.8
FRA 206,2023-03-13,7220 TAULA AUX.,STREETS AHEAD,1,0.21,10.82,13.7,10.82,13.7
FRA 206,2023-03-13,RELLOTGE PARET,VARIS,1,0.21,11.06,14.0,11.06,14.0
FRA 205,2023-03-13,BANJO,STREETS AHEAD,1,0.21,11.85,15.0,11.85,15.0
FRA 204,2023-03-10,4933 ESTANT 16 FORATS,STREETS AHEAD,1,0.21,14.14,17.9,14.14,17.9
FRA 204,2023-03-10,ESCACS,CREAL,1,0.21,6.4,8.1,6.4,8.1
FRA 204,2023-03-10,ESTANTERIA AMB EINES,CREAL,1,0.21,4.98,6.3,4.98,6.3
FRA 204,2023-03-10,SERRA,CREAL,1,0.21,1.82,2.3,1.82,2.3
FRA 204,2023-03-10,75520 CAIXA REGISTRADORA,CREAL,1,0.21,4.5,5.7,4.5,5.7
FRA 204,2023-03-10,71790 PALETA,CREAL,1,0.21,1.58,2.0,1.58,2.0
FRA 203,2023-03-10,D2245 TIESTOS,STREETS AHEAD,1,0.21,10.59,13.4,10.59,13.4
FRA 201,2023-03-10,STICKER POINT,W&M,1,0.21,1.5,1.9,1.5,1.9
FRA 201,2023-03-10,6295 GARLANDA FLORS,CREAL,1,0.21,11.46,14.5,11.46,14.5
FRA 200,2023-03-09,DOSIFICADOR,VARIS,1,0.21,1.19,1.5,1.19,1.5
FRA 200,2023-03-09,PLANTA PIS,ALLAU,1,0.21,114.55,145.0,114.55,145.0
FRA 200,2023-03-09,TORNEJATS (POTES),CREAL,1,0.21,4.98,6.3,4.98,6.3
FRA 200,2023-03-09,MONTATGE EDIFICI,CLUB,1,0.21,15.8,20.0,15.8,20.0
FRA 199,2023-03-09,76571 BARRA CORTINA,CREAL,1,0.21,3.56,4.5,3.56,4.5
FRA 199,2023-03-09,D1956 MARCS,STREETS AHEAD,1,0.21,3.56,4.5,3.56,4.5
FRA 198,2023-03-08,CAMA GATO,ALLAU,1,0.21,4.74,6.0,4.74,6.0
FRA 198,2023-03-08,2596 BOMB. + ENCHUFE (X2),CREAL,1,0.21,5.37,6.8,5.37,6.8
FRA 198,2023-03-08,2547 ENCHUFE PILA,CREAL,2,0.21,1.98,2.5,3.95,5.0
FRA 198,2023-03-08,2942 AGA CREMA,STREETS AHEAD,1,0.21,10.82,13.7,10.82,13.7
FRA 197,2023-03-08,73280,CREAL,1,0.21,2.61,3.3,2.61,3.3
FRA 197,2023-03-08,74544,CREAL,1,0.21,3.79,4.8,3.79,4.8
FRA 196,2023-03-08,D834 BAGUL,STREETS AHEAD,1,0.21,4.35,5.5,4.35,5.5
FRA 196,2023-03-08,5070 JOFAINA,STREETS AHEAD,1,0.21,3.32,4.2,3.32,4.2
FRA 195,2023-03-07,CHALKY DECOART,CHOPO,1,0.21,3.16,4.0,3.16,4.0
FRA 195,2023-03-07,REMATE SOSTRE,ALLAU,1,0.21,6.32,8.0,6.32,8.0
FRA 195,2023-03-07,ESGLAONS EXTRES,ALLAU,1,0.21,17.38,22.0,17.38,22.0
FRA 195,2023-03-07,SET REGLES METACRIL.,ALLAU,1,0.21,4.7,5.95,4.7,5.95
FRA 195,2023-03-07,MONTATGE EDIFICI,CLUB,1,0.21,15.8,20.0,15.8,20.0
FRA 194,2023-03-07,ESGLAONS EXTRES,ALLAU,1,0.21,17.38,22.0,17.38,22.0
FRA 194,2023-03-07,SABONERA,STOCK DRAP,1,0.21,2.65,3.35,2.65,3.35
FRA 194,2023-03-07,ALFOMBRA,STOCK DRAP,1,0.21,7.11,9.0,7.11,9.0
FRA 194,2023-03-07,SET DE REGLES DE METACRIL.,ALLAU,1,0.21,4.7,5.95,4.7,5.95
FRA 194,2023-03-07,SET DE REGLES,ALLAU,1,0.21,3.91,4.95,3.91,4.95
FRA 194,2023-03-07,4 LÀMINES,STOCK DRAP,4,0.21,0.0,0.0,0.0,0.0
FRA 194,2023-03-07,2 COIXINS,STOCK DRAP,2,0.21,1.19,1.5,2.37,3.0
FRA 194,2023-03-07,RELICARI,STOCK DRAP,1,0.21,0.0,0.0,0.0,0.0
FRA 194,2023-03-07,ESCALFA LLITS,STOCK DRAP,1,0.21,31.88,40.35,31.88,40.35
FRA 194,2023-03-07,LÀMINA,STOCK DRAP,1,0.21,0.55,0.7,0.55,0.7
FRA 194,2023-03-07,LÀMINA,STOCK DRAP,1,0.21,4.35,5.5,4.35,5.5
FRA 194,2023-03-07,LÀMINA,STOCK DRAP,1,0.21,4.35,5.5,4.35,5.5
FRA 194,2023-03-07,4 XUMETS,STOCK DRAP,4,0.21,0.43,0.55,1.74,2.2
FRA 194,2023-03-07,76471 ESPELMES,CREAL,1,0.21,1.82,2.3,1.82,2.3
FRA 194,2023-03-07,CUADRE BRODAT,STOCK DRAP,1,0.21,24.89,31.5,24.89,31.5
FRA 194,2023-03-07,3 MARCS,STOCK DRAP,3,0.21,3.95,5.0,11.85,15.0
FRA 194,2023-03-07,2 CREUS,STOCK DRAP,2,0.21,3.16,4.0,6.32,8.0
FRA 194,2023-03-07,CREUS ,STOCK DRAP,3,0.21,1.5,1.9,4.5,5.699999999999999
FRA 193,2023-03-07,OBOE,STREETS AHEAD,1,0.21,10.27,13.0,10.27,13.0
FRA 192,2023-03-07,GUARNIMENT CORONACIÓ,ALLAU,1,0.21,8.65,10.95,8.65,10.95
FRA 192,2023-03-07,SET DE REGLES,ALLAU,1,0.21,3.91,4.95,3.91,4.95
FRA 192,2023-03-07,COIXÍ,STOCK DRAP,1,0.21,0.0,0.0,0.0,0.0
FRA 192,2023-03-07,RELICARI,STOCK DRAP,1,0.21,0.0,0.0,0.0,0.0
FRA 192,2023-03-07,MARCS BUITS ,STOCK DRAP,3,0.21,3.95,5.0,11.85,15.0
FRA 192,2023-03-07,76470 ESPELMES,CREAL,1,0.21,1.34,1.7,1.34,1.7
FRA 192,2023-03-07,PERFUMER,STOCK DRAP,1,0.21,2.53,3.2,2.53,3.2
FRA 192,2023-03-07,LAMINES,STOCK DRAP,4,0.21,0.47,0.6,1.9,2.4
FRA 192,2023-03-07,CUADRE,STOCK DRAP,1,0.21,11.14,14.1,11.14,14.1
FRA 192,2023-03-07,PETXINES,STOCK DRAP,3,0.21,0.75,0.95,2.25,2.8499999999999996
FRA 192,2023-03-07,CANELOBRES XINESOS,STOCK DRAP,2,0.21,4.74,6.0,9.48,12.0
FRA 192,2023-03-07,PERFUMERS ,STOCK DRAP,2,0.21,2.53,3.2,5.06,6.4
FRA 192,2023-03-07,PAI PAI,STOCK DRAP,1,0.21,8.97,11.35,8.97,11.35
FRA 192,2023-03-07,CUADRE PINTAT A MÀ,STOCK DRAP,1,0.21,14.22,18.0,14.22,18.0
FRA 192,2023-03-07,CUADRE BRODAT,STOCK DRAP,1,0.21,24.89,31.5,24.89,31.5
FRA 192,2023-03-07,RELICARI,STOCK DRAP,1,0.21,11.93,15.1,11.93,15.1
FRA 192,2023-03-07,CUADRE OVALAT PINTAT A MÀ,STOCK DRAP,1,0.21,9.95,12.6,9.95,12.6
FRA 192,2023-03-07,SAFATA,STOCK DRAP,1,0.21,5.53,7.0,5.53,7.0
FRA 192,2023-03-07,JOC TOCADOR,STOCK DRAP,1,0.21,1.19,1.5,1.19,1.5
FRA 192,2023-03-07,SOPORT TORRADES,STOCK DRAP,1,0.21,22.87,28.95,22.87,28.95
FRA 192,2023-03-07,CATIFA MIG PUNT,STOCK DRAP,1,0.21,17.78,22.5,17.78,22.5
FRA 192,2023-03-07,ABECEDARI PUNT DE CREU,STOCK DRAP,1,0.21,11.3,14.3,11.3,14.3
FRA 192,2023-03-07,MONTATGE EDIFICI,CLUB,1,0.21,15.8,20.0,15.8,20.0
FRA 191,2023-03-07,FONTAINE EUROSIA,STOCK DRAP,1,0.21,22.91,29.0,22.91,29.0
FRA 191,2023-03-07,ICONA,STOCK DRAP,1,0.21,11.93,15.1,11.93,15.1
FRA 191,2023-03-07,CUADRE AMB LLUM,STOCK DRAP,1,0.21,28.68,36.3,28.68,36.3
FRA 191,2023-03-07,VERGE MONTSERRAT,STOCK DRAP,1,0.21,2.77,3.5,2.77,3.5
FRA 191,2023-03-07,ICONA,STOCK DRAP,1,0.21,11.93,15.1,11.93,15.1
FRA 191,2023-03-07,VERGE PINTADA,STOCK DRAP,1,0.21,44.79,56.7,44.79,56.7
FRA 191,2023-03-07,VERGE,STOCK DRAP,1,0.21,3.08,3.9,3.08,3.9
FRA 191,2023-03-07,SEIENT ORINAL,STOCK DRAP,1,0.21,5.53,7.0,5.53,7.0
FRA 191,2023-03-07,2 VERGES,STOCK DRAP,2,0.21,8.97,11.35,17.93,22.7
FRA 191,2023-03-07,15 PARTITURAS,STOCK DRAP,15,0.21,0.16,0.2,2.37,3.0
FRA 191,2023-03-07,MONTATGE EDIFICI,CLUB,2,0.21,15.8,20.0,31.6,40.0
FRA 191,2023-03-07,8 TARACEA,VARIS,8,0.21,1.98,2.5,15.8,20.0
FRA 190,2023-03-06,MSC 014 L,ALLAU,1,0.21,7.51,9.5,7.51,9.5
FRA 190,2023-03-06,BEF197 TAULA BAIXA,STREETS AHEAD,1,0.21,5.29,6.7,5.29,6.7
FRA 189,2023-03-06,BOTIGA GELATS,FAIRE,1,0.21,39.46,49.95,39.46,49.95
FRA 188,2023-03-02,DEV. PAGA Y SEÑAL INSTRUMENTOS,STREETS AHEAD,1,0.21,-7.9,-10.0,-7.9,-10.0
FRA 187,2023-03-02,385270,CREAL,1,0.21,36.81,46.6,36.81,46.6
FRA 187,2023-03-02,385070,CREAL,1,0.21,38.16,48.3,38.16,48.3
FRA 187,2023-03-02,385170,CREAL,2,0.21,36.73,46.5,73.47,93.0
FRA 187,2023-03-02,2106,ALLAU,1,0.21,22.87,28.95,22.87,28.95
FRA 187,2023-03-02,0SL 05,ALLAU,1,0.21,7.07,8.95,7.07,8.95
FRA 187,2023-03-02,CAMA  SUEÑOS DE AFRICA,ARTESANIA,1,0.21,110.6,140.0,110.6,140.0
FRA 187,2023-03-02,76250 BINOCULOS,CREAL,1,0.21,2.05,2.6,2.05,2.6
FRA 187,2023-03-02,76955 TELESCOPIO,CREAL,1,0.21,3.16,4.0,3.16,4.0
FRA 187,2023-03-02,PUNCH MARIPOSA,VARIS,1,0.21,3.4,4.3,3.4,4.3
FRA 187,2023-03-02,PUNCH LIBÉLULA,VARIS,1,0.21,3.12,3.95,3.12,3.95
FRA 187,2023-03-02,KIT HIDRÀULICS,W&M,4,0.21,15.64,19.8,62.57,79.2
FRA 187,2023-03-02,ALFOMBRA,STOCK DRAP,1,0.21,15.48,19.6,15.48,19.6
FRA 187,2023-03-02,TECHO ROHAN,W&M,2,0.21,10.35,13.1,20.7,26.2
FRA 187,2023-03-02,TU A3-0208,T.U.,2,0.21,2.37,3.0,4.74,6.0
FRA 187,2023-03-02,TU A3-0210,T.U.,2,0.21,2.37,3.0,4.74,6.0
FRA 187,2023-03-02,TU A3-0338,T.U.,2,0.21,2.37,3.0,4.74,6.0
FRA 187,2023-03-02,TU A3-0227,T.U.,2,0.21,2.37,3.0,4.74,6.0
FRA 187,2023-03-02,TU A3-0272,T.U.,1,0.21,2.37,3.0,2.37,3.0
FRA 187,2023-03-02,TU A3-0244,T.U.,2,0.21,2.37,3.0,4.74,6.0
FRA 187,2023-03-02,879812,CREAL,3,0.21,3.24,4.1,9.72,12.299999999999999
FRA 187,2023-03-02,TECHO ROSETON,STREETS AHEAD,1,0.21,1.98,2.5,1.98,2.5
FRA 187,2023-03-02,CHINOISERIES,VARIS,1,0.21,3.71,4.7,3.71,4.7
FRA 186,2023-03-02,BOLSA,BOSSES,1,0.21,0.16,0.2,0.16,0.2
FRA 186,2023-03-02,CAMA OFERTA,CREAL,1,0.21,7.9,10.0,7.9,10.0
FRA 186,2023-03-02,82129,CREAL,1,0.21,6.16,7.8,6.16,7.8
FRA 186,2023-03-02,2615,CREAL,1,0.21,7.43,9.4,7.43,9.4
FRA 186,2023-03-02,2605,CREAL,1,0.21,7.74,9.8,7.74,9.8
FRA 186,2023-03-02,SRA. FALDA CUADROS,CREAL,1,0.21,6.48,8.2,6.48,8.2
FRA 186,2023-03-02,29624,CREAL,1,0.21,5.53,7.0,5.53,7.0
FRA 186,2023-03-02,269532,CREAL,1,0.21,7.03,8.9,7.03,8.9
FRA 186,2023-03-02,MOSTRADOR,JACOMINIS,1,0.21,17.38,22.0,17.38,22.0
FRA 186,2023-03-02,BEF012,STREETS AHEAD,1,0.21,7.51,9.5,7.51,9.5
FRA 186,2023-03-02,23701,CLUB,1,0.21,10.9,13.8,10.9,13.8
FRA 186,2023-03-02,22064,CLUB,1,0.21,6.24,7.9,6.24,7.9
FRA 186,2023-03-02,22048,CLUB,1,0.21,4.74,6.0,4.74,6.0
FRA 186,2023-03-02,22085,CLUB,1,0.21,11.46,14.5,11.46,14.5
FRA 185,2023-03-01,BOOK NOOK SAKURA,FAIRE,1,0.21,47.36,59.95,47.36,59.95
FRA 184,2023-03-01,PRT 02 ,ALLAU,2,0.21,23.66,29.95,47.32,59.9
FRA 184,2023-03-01,PRT 04,ALLAU,1,0.21,4.7,5.95,4.7,5.95
FRA 184,2023-03-01,2121,ALLAU,2,0.21,14.18,17.95,28.36,35.9
FRA 184,2023-03-01,MSC 03,ALLAU,1,0.21,5.49,6.95,5.49,6.95
FRA 184,2023-03-01,MSC 02,ALLAU,1,0.21,5.49,6.95,5.49,6.95
FRA 184,2023-03-01,2110,ALLAU,1,0.21,11.81,14.95,11.81,14.95
FRA 184,2023-03-01,HAI 06,ALLAU,1,0.21,4.7,5.95,4.7,5.95
FRA 184,2023-03-01,HAI 05,ALLAU,1,0.21,18.13,22.95,18.13,22.95
FRA 184,2023-03-01,79933 PARQUET,CREAL,4,0.21,21.88,27.7,87.53,110.8
FRA 184,2023-03-01,PRT 03,ALLAU,1,0.21,32.35,40.95,32.35,40.95
FRA 184,2023-03-01,HMP 17,ALLAU,1,0.21,38.67,48.95,38.67,48.95
FRA 184,2023-03-01,CARA RISUEÑA,AZTEC,1,0.21,5.53,7.0,5.53,7.0
FRA 184,2023-03-01,2115,CREAL,1,0.21,6.4,8.1,6.4,8.1
FRA 183,2023-03-01,6 FRONTISES CASETA,CREAL,1,0.21,8.69,11.0,8.69,11.0
FRA 182,2023-03-01,CARRITO COMPRA,CAROL,1,0.21,22.12,28.0,22.12,28.0
FRA 182,2023-03-01,COCA,CAROL,2,0.21,14.22,18.0,28.44,36.0
FRA 182,2023-03-01,CAZUELA PEQUEÑA,CAROL,2,0.21,14.22,18.0,28.44,36.0
FRA 182,2023-03-01,CORNETTO,CAROL,1,0.21,14.22,18.0,14.22,18.0
FRA 182,2023-03-01,CROQUETAS,CAROL,1,0.21,9.48,12.0,9.48,12.0
FRA 182,2023-03-01,PIZZA,CAROL,1,0.21,9.48,12.0,9.48,12.0
FRA 182,2023-03-01,BOLSO LONA,CAROL,1,0.21,15.8,20.0,15.8,20.0
FRA 182,2023-03-01,PATATAS FRITAS,CAROL,2,0.21,14.22,18.0,28.44,36.0
FRA 182,2023-03-01,POLLO,CAROL,4,0.21,14.22,18.0,56.88,72.0
FRA 182,2023-03-01,SOPORTE JAMON,ALLAU,1,0.21,9.48,12.0,9.48,12.0
FRA 182,2023-03-01,JAMON,CAROL,3,0.21,22.12,28.0,66.36,84.0
FRA 182,2023-03-01,PAN BIMBO,CAROL,4,0.21,14.22,18.0,56.88,72.0
FRA 181,2023-03-01,75991 TEST LLARG,CREAL,1,0.21,0.87,1.1,0.87,1.1
FRA 181,2023-03-01,D2305 2 BOLS,STREETS AHEAD,1,0.21,1.9,2.4,1.9,2.4
FRA 181,2023-03-01,797320 BALDÓ,CREAL,1,0.21,2.21,2.8,2.21,2.8
FRA 181,2023-03-01,MORTER FANG,VARIS,1,0.21,1.19,1.5,1.19,1.5
FRA 180,2023-03-01,71343 SER JARDÍ,STREETS AHEAD,1,0.21,1.98,2.5,1.98,2.5
FRA 180,2023-03-01,D1917 MANGUERA,STREETS AHEAD,1,0.21,4.98,6.3,4.98,6.3
FRA 180,2023-03-01,CADIRA IRIGINALS,IRIGINALS,1,0.21,4.62,5.85,4.62,5.85
FRA 180,2023-03-01,DF567 ESTANT,STREETS AHEAD,1,0.21,6.4,8.1,6.4,8.1
FRA 180,2023-03-01,19002,IRIGINALS,1,0.21,7.51,9.5,7.51,9.5
FRA 180,2023-03-01,19011 TAULA,IRIGINALS,1,0.21,3.83,4.85,3.83,4.85
FRA 179,2023-02-28,PLANTA ÚLTIM PIS,ALLAU,1,0.21,102.7,130.0,102.7,130.0
FRA 179,2023-02-28,PLANTA PIS,ALLAU,1,0.21,114.55,145.0,114.55,145.0
FRA 179,2023-02-28,ABRIC,CAROL,1,0.21,22.12,28.0,22.12,28.0
FRA 179,2023-02-28,PANTALONS TEXANS,CAROL,1,0.21,14.22,18.0,14.22,18.0
FRA 179,2023-02-28,BATERIA MUSICAL,CIAF,1,0.21,27.65,35.0,27.65,35.0
FRA 179,2023-02-28,MONTATGE EDIFICI,CLUB,2,0.21,15.8,20.0,31.6,40.0
FRA 178,2023-02-28,ABRIC,CAROL,1,0.21,22.12,28.0,22.12,28.0
FRA 178,2023-02-28,BRUSA + PANTALONS,CAROL,1,0.21,22.12,28.0,22.12,28.0
FRA 178,2023-02-28,CORNISA DENTADA,CREAL,1,0.21,3.32,4.2,3.32,4.2
FRA 178,2023-02-28,MONTATGE EDIFICI,CLUB,1,0.21,15.8,20.0,15.8,20.0
FRA 177,2023-02-27,22905 ENDOLL TIRA LED,CREAL,1,0.21,3.87,4.9,3.87,4.9
